Country,(All),,,Country,(All),
,,,,,,
Average of Entrepreneurship Index,Column Labels,,,Average of Female Labor Force Participation Rate,Column Labels,
Row Labels,Developed,Grand Total,,Row Labels,Developed,Grand Total
Member,56.86,56.86,,Member,61.59,61.59
Not Member,66.99,66.99,,Not Member,67.41,67.41
Grand Total,59.49,59.49,,Grand Total,63.10,63.10
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Country,(All),,,,,
,,,,,,
Count of Currency,Column Labels,,,,,
Row Labels,Developed,Developing,Grand Total,,,
Member,20.00,,20.00,,,
Euro,15.00,,15.00,,,
National Currency,5.00,,5.00,,,
Not Member,7.00,24.00,31.00,,,
National Currency,7.00,24.00,31.00,,,
Grand Total,27.00,24.00,51.00,,,
